Gene	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
CDH18	0.2000308269104024	0.02571302628559171	0.17340747590894418	0.11769531679030235	0.0	0.17163792077163126	0.021766539121187933
CDH19	0.018441181630449287	0.13811798522838192	0.2808906356531094	0.13787347136543113	0.009030269716626332	0.1039680342476751	0.0
CDH2	0.08225736408368466	0.631720960434581	0.21499345441986573	0.4545829674331763	0.0	1.2760057675887628	19.15587859060483
CDH20	0.00419081249668755	0.034533592358327835	0.07097151289511437	0.35876873832650075	0.0	0.2082735097312068	0.08201608028147411
CDH22	0.017828521664216106	0.0	0.04002707669422408	0.01623816839727914	0.0	0.07992325782600312	0.08409710222998773
CDH23	0.19804254867102647	0.4053903641266416	0.2398575313722177	0.32137145107474824	0.460376158816185	0.0	0.0
CDH24	0.008164485817930311	8.757786973406065e-07	9.92151461053885e-10	0.3764684240210143	0.0	0.5930208208812404	0.0
CDH26	0.3900973734345415	16.937237382601086	1.808811144270278	2.2184309949475245	0.6826338552529184	8.204262967787491	3.0911502993409634
CDH3	32.69192271353852	62.230866586592064	1.6574221389622534	4.417136214491565	1.7650189191792236	31.739512836650338	4.889327720918354
CDH4	0.012835877534040807	0.07601198352988348	0.3546356864735179	0.27723009729582826	0.0	0.2401039121801817	0.0
CDH5	6.4932974614767645	17.05206306470587	39.160733120960046	4.125369679836527	2.3007213494205696	7.019187608527687	3.8587336654500564
CDH6	0.2408851247945041	1.9123109351134977	3.2759409265824844	0.4486828050749097	0.2226317353174788	0.9162258053584342	0.2290063802944692
CDH7	0.02414915122424925	0.03392327210144142	0.034860314380605835	0.02092532148510908	0.004908588860677857	0.07277748798669145	1.833563948282511
CDH8	0.0	0.0	0.030456925528401717	0.0	0.0	0.0	0.0
CDH9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDHR1	0.2107687178801731	3.0766742919335086	0.1010851482162039	0.3165632441654859	0.0	1.2758134435683266	0.394856836147581
CDHR2	0.03848046885662095	0.33936689902952033	0.040212526991935	0.6390326610413862	0.2761226339806234	0.7800196028851214	0.15062095021666894
CDHR3	3.8538242050979616	6.695127675247668	4.7679517451792535	29.456876117134037	8.181497350160676	110.65022549106013	0.8786816133637687
CDHR4	1.6158603437685013	2.290874026293628	2.0096113335640107	18.80625964221849	2.6292581347785084	41.83383525860946	0.4962779668185555
CDHR5	0.058105527781449985	0.1769166448278087	0.08220715757177674	0.280677434942643	0.0	0.19617632884575667	0.09985827157690456
CDIP1	8.679168609005265	24.339752243349608	29.00034784259025	24.880259415651327	13.180140813250224	22.54153302578643	24.685126053379392
CDIPT	46.580938673876474	20.86014378656676	60.53629731535582	21.408726094540906	24.096504241484023	22.557280282276825	25.4634245245465
CDK1	46.36292464720282	20.700692704193703	11.86338019565878	13.740053678944054	9.469940661099523	20.11140440904398	22.169615278486766
