	1k_PBMC_v3	8k_PBMC_v2	68k_PBMC_v1	3k_PBMC_v1	10k_PBMC_v3	4k_PBMC_v2	1k_PBMC_v2	5k_PBMC_v3	6k_PBMC_v1
Fibroblasts	0.23870394476750104	0.2392794040409791	0.058199506447981886	0.191798993797785	0.26423488565347764	0.18925717683832466	0.23901007705717814	0.21473950726004787	0.1704212379855922
Fibroblasts_std	0.03283557194851832	0.04366863849922258	0.014669231105174612	0.03727959529834752	0.024097431774255305	0.03962550142329857	0.049975901848612204	0.01945501951566328	0.030754553876540955
Immune_general	106.65546873939772	106.31741519672306	110.34132146949878	115.19747150903522	108.38132020683906	108.38985559502949	108.79809144156296	106.6321238368963	109.62443968019113
Immune_general_std	3.8121921020600102	4.5378716450881855	4.1833244760269945	5.074834328651988	5.395403846943517	4.254699749724924	5.097031940709812	4.824379235629143	4.72837129202275
Lymphocytes	62.572943907930835	81.45068374981173	99.01157243310837	81.39109448081325	61.269480947576504	82.94294529782826	77.59507219235462	72.80729503073276	77.60244284290368
Lymphocytes_std	1.8588530107989292	2.4299121711216918	5.808265504540694	3.7531244841510567	2.385914541407826	2.3861877750582625	3.456362541343585	3.471407352171163	3.2699630421579644
Macrophages	0.13392231372980604	0.19427380124405813	0.011983101710451256	0.061170160847942384	0.20496208149555264	0.14636536181090362	0.18844887667439428	0.40181963101213897	0.1998911909890768
Macrophages_M1	0.05421788246316369	0.13035223606162005	0.0076210065022312735	0.03936555266082058	0.08552826282347904	0.11345714739311495	0.09042342595710194	0.15735948595210775	0.10947785026614634
Macrophages_M1_std	0.06202898766334674	0.08356593468779425	0.012620607120870386	0.03792320629987067	0.08756708163230978	0.08312428433714397	0.07201648640499833	0.06418498620873582	0.08358763718250088
Macrophages_M2	0.07970443126664238	0.06392156518243806	0.004362095208219982	0.0218046081871218	0.11943381867207355	0.03290821441778874	0.09802545071729232	0.2444601450600311	0.09041334072293047
Macrophages_M2_std	0.05515170250547824	0.047786897119292716	0.007147289380638153	0.026002481335971567	0.07504128048310559	0.03828241146327322	0.10042190637932799	0.09317209445030533	0.06226335768279841
Macrophages_std	0.07103547040289014	0.1154324637392784	0.01745743717301256	0.04322140157592736	0.0734988648857975	0.10343280951429257	0.14130479168025165	0.10737543930641323	0.12618975846539934
Monocytes	37.082995390832345	18.61470566507237	1.487672566195364	21.405673268169792	41.810154229986246	18.03111602170151	23.08205887517488	29.686561091189372	22.571701070254697
Monocytes_std	2.737868063928589	1.365512012263495	0.20412730151346944	1.911641914734208	2.8748242735548977	1.4516209250949317	2.1603290560124715	1.7634146200526866	1.6214657287367644
Myeloid_cells	37.357951329897574	20.86347550908256	1.6588039299196995	22.770776757897487	42.126748905166885	20.687759371722905	24.56018636434073	29.661122645759395	23.226759628728384
Myeloid_cells_std	2.8675540044140857	1.2004293970917113	0.2918329054068433	1.529137772505511	3.072119018825933	1.3157277911429108	1.948885371815352	1.9197554636500127	1.5030330892570658
NK_cells	3.2186366218868834	3.0199149940192767	4.155967705067715	3.1959319807927664	3.7681121882170094	3.266123743473805	6.3343309221534145	3.9044822587406935	3.6018527363841626
NK_cells_std	0.4468700912413444	0.7029629286000205	1.1379489223321204	0.7612834311890387	0.3559858685985011	0.7544114868505241	0.8048383831639948	0.6240657589285741	0.7453998528621053
Neutrophils	0.07278884584685158	0.0737937973686292	0.014973965422403741	0.06220784494748821	0.08204864575139159	0.06890537956118611	0.035794596182821936	0.07237889130159475	0.06884510808963963
Neutrophils_std	0.05174729560791825	0.04530455417641415	0.020322764929700504	0.027069667408106173	0.06180898995555348	0.03844898770053245	0.02275904753993366	0.05865806891053519	0.02812837652732773
Non_plasma_B_cells	14.134750153328644	14.863165696259664	5.845513357325442	10.26759664409567	12.453863887852025	16.477170027570505	15.521693939182384	12.469365883179961	11.333280895654747
Non_plasma_B_cells_std	1.420787058406389	1.7923954629502483	0.7382016169501536	0.7856005965271716	1.6431763356105422	1.9034684390808707	1.979692200049512	1.6406631112417758	1.048376915985914
Other_std	4.257910316428041	4.0233652599880765	4.778292468635703	2.9089174459147107	5.6426783380032495	4.323210459701733	5.864733274590392	3.8975489048995176	4.120303760115807
Plasma_B_cells	3.5193709562441144	0.4651420989452697	0.5694002192740245	0.6020855525331765	0.4635537790286538	0.6444512997057744	0.3019021319539142	0.21524730992904506	0.9281541264169116
Plasma_B_cells_std	0.9871146398676977	0.2001350056989869	0.2082945191134733	0.2377227241608432	0.2067789459698229	0.3074302027166838	0.2033691795843485	0.14704233746274462	0.35721173666808986
T_cells	41.593050798058755	62.48014065925201	87.83653797200033	64.19315846029032	40.94572733698536	61.15688507083967	54.28507506525832	53.01652285242648	61.12086794836978
T_cells_std	2.7847951320825883	2.429870677690836	5.594265268737703	3.3478123649528744	3.3155627050139787	3.011112438757877	3.366304402518176	3.562750495270373	3.6010196706756177
T_helpers	34.399574260118825	42.96685442844126	46.38061590345654	46.58184613138026	33.404956736175606	42.150243560752116	41.84043519660265	45.57154693434504	42.85665099943391
T_helpers_std	2.4252801524851	2.6412910550910347	5.405866419941986	3.5410400378050637	2.554320217575956	2.9045993276559456	2.579175998331721	3.4014608678697766	3.678959985519856
Tregs	0.23402627458289435	0.2147839433571262	0.3748882967733339	0.2341416791712045	0.3420205963815761	0.17773372723767966	0.2597325467690781	0.2548807732125377	0.29392426393038257
Tregs_std	0.10374103939724476	0.129945750130909	0.2506768892876332	0.2612834635740783	0.11313620390329975	0.12335656159775935	0.1819840314401712	0.09538934792086212	0.2739444231803066
