	W070517001156	W070517001157	W070517001159	W070517001160	W070517001161	W070517001162	W070517102034	W070517102035	W070517102036	W070517102037	W070517102038	W070517102051
Monocytes_std	1.071520344547347	1.09332123784943	0.8603480199763849	0.9097984795091524	3.0280949864679187	0.8896081898033965	0.8867497127296446	0.8276305502806189	1.1210168338536366	0.9975383588556668	1.1167742155762852	0.8605856249713361
NK_cells	1.3551817659184793	1.7410270922901483	4.127159492616611	1.0841198952198077	4.205769532019424	6.873529819827343	3.684418684096122	0.7169265485268336	2.078316516606206	6.5978029724973615	2.81060874003887	4.556030515561658
NK_cells_std	0.30175610371122585	0.3777123352238664	0.7992673133720792	0.3667301081138572	0.937841183899834	0.8650467917579865	0.6958075463251833	0.1825471607329364	0.6817630288114236	0.8885884945482877	0.9983068200609456	0.7712256939043973
Neutrophils	83.28675135481411	64.18311468318521	81.04587855916931	64.51626897272072	54.31849223322177	50.952800011094205	51.93138163972972	77.04474352274102	63.23492116017089	33.43208958874499	51.57430717994279	72.04876312038868
Neutrophils_std	1.829334810729896	3.3258968241310334	2.2961626461935887	3.8036391380273153	3.8362745999156367	2.901769770449491	2.6005422704435106	2.3763938682273253	2.870314793487156	1.8118273792795228	3.202244327382036	2.963861908055136
Non_plasma_B_cells	1.2869268903488602	4.6210410133206965	4.327806754788039	2.5825464809807515	3.911469096430616	5.17568227726594	7.0389440264624	3.3053848753516	5.850006643940596	13.663884334579228	9.879935530778026	2.7989629956136373
Non_plasma_B_cells_std	0.17846406796588354	0.7451319388772649	0.6534837048757323	0.4778424753642244	0.7968529878389677	0.8869388317259534	1.005315045498205	0.5598101032625781	0.7768911213981542	1.3048844717603123	1.1913930227241432	0.5500027000386329
Other_std	0.4516176972396958	0.5096897235893556	0.4084512855989692	0.5200497391937422	0.9892114142061108	0.4415172006612313	0.35277460267348754	0.7280431534603953	0.2629955564821674	0.36089824861762176	0.624929766438535	0.6695930445104653
Plasma_B_cells	0.04848319440474316	0.14006323248280805	0.06423851155861818	0.08872903492763314	0.11268299920574715	0.20872876128409296	0.0839211489147498	0.05915212282892801	0.04938615432030704	0.13120782067636735	0.1629504855183966	0.07993211963869476
Plasma_B_cells_std	0.0167812408829302	0.07025841921604775	0.03438973759729538	0.040098966383510924	0.050354487043753886	0.09245133269476298	0.058142847206422835	0.03305674921917241	0.034360112705993415	0.06913715461835643	0.07871691140583123	0.03760840696930837
T_cells	8.880718210364742	24.28814166599145	6.634838013318906	26.405081295022672	25.10336059547481	32.49067219765448	34.3189066368358	16.22472745094235	24.24214004479077	40.33749898846854	30.183899755288767	14.863201715060036
T_cells_std	0.964124833692524	1.8003101744045786	0.7531929169504901	2.366461957382768	2.0413557357764414	1.6807370184109356	1.6198386533586155	0.9010866711347676	1.7649069264030517	1.8130248141604624	1.5351381706860106	1.3899201579796203
T_helpers	8.209119210382019	22.451762908255528	5.9426634974613695	24.32225961842617	12.430414037763336	28.945802760623533	30.8473998455757	14.488680136002976	18.59272881486305	33.02920172166821	27.09713823547536	13.264450424039786
T_helpers_std	0.8756794846117474	1.8210032658708235	0.6883525358195239	2.372572762163553	2.1379037450326	1.7273343225504116	1.6001266205728906	0.785972203114473	1.7546901144285685	1.679845129070636	1.4436626222066988	1.261469094833735
Tregs	0.20390800406366708	0.2408154006856205	0.3799004607130812	0.7214718550970055	0.1941459347866626	0.7885383824943621	0.18290996036803656	0.11133728536895963	0.29181223775398824	0.3684416897880276	0.5830162240610031	0.4280922413153935
Tregs_std	0.048203835123857834	0.03573114439690993	0.09771080405706914	0.1721316430168165	0.04677205324471431	0.16612550084004066	0.058776057874029584	0.020745024591548453	0.05795328298506964	0.07871209988705923	0.10014970753947502	0.07972468567139894
