	BT1160	BT1187	BT749	BT771	BT786	BT830	BT85	BT920	MGH100	MGH101	MGH102	MGH104	MGH105	MGH106	MGH110	MGH113	MGH115	MGH121	MGH122	MGH124	MGH125	MGH128	MGH129	MGH136	MGH143	MGH151	MGH152	MGH66
Macrophages_M1	0.0037761704107834686	4.3386642855869	0.005816895492631874	1.0737232536095205	0.1872988181458396	0.06030483172385035	0.0011571348597988653	0.4126650922288266	0.032013798132783065	3.4832260565049773	1.5849262139832632	0.022926516778300703	6.395802044043528	0.2657200597186645	0.06431260802584297	2.404795966872069	0.5149420421980464	0.003942775847619943	5.463894056222012	2.8303157866336077	1.7838339892872306	0.02781908855728243	0.010449220873339202	0.0060111082100371355	0.015074503827219575	0.008097921482267682	0.025608159542047402	0.09215952755539264
Macrophages_M2	0.004844090242063778	51.08021874877846	0.0006796492748524419	1.1742844738448204	0.3247447424757681	0.018593191370288868	0.011540349461228682	1.2757653821267871	0.0077879280788066855	12.757203100428045	20.691689199272254	0.022937444303451796	19.71418518490664	1.1636056241553838	0.030990749459714417	9.477372258054082	1.1156531672493863	0.0012151104829503767	12.095206315436867	6.640358635832082	7.490143117243062	0.20077161630469825	0.014551621483347084	0.001525014323409148	0.007455516589322203	0.003331203773498609	0.02473319779959653	0.04463120175324367
Monocytes	0.0559271774061598	8.503674021139702	0.038597065212900766	0.07101937565382327	0.057460589253153324	0.06651973556855999	0.04310584520807317	0.11200298696240883	0.09777537085334226	0.16754917257554258	0.1563159816561778	0.05448613155258514	0.2763336336865377	0.1654877211318656	0.36234646673322907	0.18306414647108052	0.10094832161522964	0.055009613239663364	0.092526719220429	0.03470649872997053	0.08442044199429058	0.06972759861934197	0.08130169151428347	0.04939811307042138	0.047681483585558126	0.08499576928047403	0.04361440570291397	0.051714228720536985
Myeloid_cells	0.09467419644118076	61.84204767946496	0.0399884129539372	2.562330805168449	0.5528033253900324	0.10277724292778463	0.0584735242820837	2.9728081415130903	0.09154163630830547	17.050114571798098	22.154986612606926	0.10286585028526443	23.736458610523464	2.70484643737993	1.0068900394608873	10.453719201742956	2.3867651460681496	0.06538859801080033	14.179923417405512	8.217223653506633	8.145081632779874	0.22074012449629785	0.12368084719366346	0.07486266853851073	0.07559791820390306	0.08689512207021641	0.1827036237210246	0.21252569977853464
NK_cells	0.03501621550004014	0.28752343167577177	0.1390648407908838	0.017925405465612918	0.001915446300490229	0.0004136798120411729	0.027040099231449004	0.009434161811962858	0.036868930000629095	0.004521376857864035	0.04223815980158722	0.002725293636209081	0.04053711400253136	0.03921681966674317	0.03725145182680446	0.08161028922769976	0.12727667681534144	0.018339725803770027	0.07200151304589936	0.10997183511149618	0.048499565459181965	0.025655153717034668	0.009030485087434622	0.04365008040126043	0.02187883383373607	0.048457375279717885	0.056150269522919495	0.01531318172332042
Neutrophils	0.006785391852988786	0.3458403644583085	0.0015221820812264927	0.002708991847524146	0.0005254996121051613	0.0006926523157777878	0.0005221429164358005	0.02154123380273329	0.0010424362852678266	0.08911152440462175	0.08512659130396841	0.0015987153610619626	0.12188103975406785	0.009284426173471548	0.019218570145048037	0.10707663651661208	0.015080688340261366	0.0006426795755350134	0.09572354471960304	0.012484875274321943	0.013817133947502796	0.005202918488190959	0.013309032495685286	0.0008304171329909383	0.001014435148227958	0.0004237686035552154	0.0012802809628174904	0.00091014706651205
Non_plasma_B_cells	0.011677789260229427	0.11710251411208082	0.010604709106195452	0.015549914487410797	0.011823354633404892	0.025593926897316616	0.011564326036576398	0.13042337835692974	0.011004752031501077	0.028747478434374377	0.056667981141262674	0.006496680772613311	0.02792579554501974	0.020906965991445592	0.02614655051703253	0.014371156631138925	0.017898358024795454	0.007534945968505342	0.035027740579972065	0.01617790806968382	0.08138313333392345	0.08127024557301801	0.013039610569550737	0.018029148337623157	0.010371364635004113	0.008987815907083875	0.010095990370979337	0.007180889853812755
Other	99.75354108832741	30.88614372889245	99.6628724572431	95.99539209137596	99.24820313163882	97.6045974460568	99.77540141988865	97.75701589226692	99.32937747001594	83.25460215991552	77.14910172978709	99.41709930413765	72.24534742463948	77.32086738118319	98.16067420983194	86.64975554654747	97.37323418720148	99.6405679033778	80.71150141996488	90.06898956347324	88.45943477185804	98.62933577043535	98.9901970659774	99.67673741921206	99.66968566154215	99.55848695619785	99.08882727948392	99.30824988625729
Plasma_B_cells	0.029391932113238664	0.038880447609416564	0.024672128103867583	0.031823016430612784	0.0227158802960528	0.006468048994062368	0.055979070793074084	0.023313025330288343	0.03140941282558995	0.051520156069762034	0.026470411755239343	0.013738667802586705	0.04892241231173188	0.06447951039657708	0.0198763647730127	0.042147640581650485	0.07520016033405096	0.035660530005424414	0.005813410976665184	0.02363112604868743	0.0070144120760509	0.02890106143874926	0.04547633758564002	0.029621344837235667	0.023562359124386218	0.027493959488712742	0.023221409113933417	0.027774353446193438
T_cells	0.05965509081527125	4.316634197206489	0.06594999174069438	0.14138903219637722	0.0457470303845065	0.11595534364248593	0.05256658607010743	0.07069693292575159	0.03985272736616975	0.03393400799258909	0.1394377605742115	0.06394727107016056	0.6770015102177906	20.093685253879272	1.1682834872916317	0.8802903077873837	0.13545616186494128	0.055231119067767134	1.1539096823232635	0.05829053115206498	1.943924415619786	0.09854732916675774	0.10426977283167213	0.039136048255568164	0.028497151325301638	0.05087680934411255	0.058089559104349174	0.09215576010942103
