	lymph_node_20	lymph_node_25	lymph_node_26	lymph_node_28	lymph_node_5	primary_10	primary_12	primary_13	primary_16	primary_17	primary_18	primary_20	primary_22	primary_23	primary_24	primary_25	primary_26	primary_28	primary_5	primary_6	primary_7	primary_8
Macrophages_M2	0.001795301795108622	0.2660688711775037	0.2867781704859137	0.06071027201194067	0.1874125850406644	0.016406080788799685	0.0806638724961124	1.0396291988380182	0.1871960011365731	0.1207746799557074	0.8711781553576511	0.0007058662387866633	0.12643258398224685	0.046610477555233336	0.3326108413104987	0.06773965255145922	0.05595390741547758	0.22642483029228025	18.12027527925165	0.7067304382604207	0.054382329131620416	0.11021346472600067
Macrophages_M2_std	0.0037849814225123647	0.11909113876252975	0.11880262454463973	0.04146579859637146	0.11265098720092245	0.0202645555782752	0.07511546259250053	0.3464355442296217	0.1286308804616022	0.0980314930296247	0.5648443341644059	0.0019907841033792056	0.07030845917511627	0.06698942348102999	0.18006365156394966	0.06320953419800279	0.03469598876856113	0.07138609476785884	2.9530880200275256	0.1695845668403044	0.030120425427574895	0.08571574506067191
Macrophages_std	0.008887906655534366	0.14865044734929328	0.0949273652841501	0.09205844017546777	0.11877654754081834	0.3352716508967194	0.06906002198132365	0.293414322025927	0.13929485188716992	0.13613981728886854	0.7147542812788009	0.006371487899252787	0.12311937967743007	0.06666911589134507	0.30393831583231035	0.07582172862729818	0.10019466566559454	0.06685565196913093	1.776570946820497	0.17189266628034516	0.047400675645385804	0.2000048335261754
Monocytes	0.0293996121234509	0.19036196941431066	0.05219459276199339	0.05462199018319875	0.08374953782762233	0.17623759440529596	0.04905404791915957	0.41677721821276015	0.10808884306832356	0.07376367517125235	0.3143945651706088	0.027386790269692683	0.08085937045060503	0.0351530658738016	0.19853708999715167	0.06778249642572047	0.04222088083887693	0.05306227013392603	0.5147904682161701	0.44867358100950017	0.0581784763031438	0.2359261103141438
Monocytes_std	0.011971005623764413	0.06632332017657462	0.013361415365652978	0.019339976460184496	0.0297486939204758	0.0713577940130417	0.0593733238360177	0.10739951110795776	0.053767539689810274	0.028882113583903638	0.07746556452349715	0.01136323604543429	0.03969268876221146	0.02758715811259295	0.07054452628381701	0.0197927531203552	0.02768031937960038	0.03579787891804132	0.1417751291063438	0.0959573529585723	0.03800462854962314	0.06333367980256098
Myeloid_cells	0.049160003703241036	0.6480446772414659	0.7878896423957181	0.2401613890243463	0.2751784412670768	0.5284841527006726	0.03911201370259408	4.2177911107342245	0.7588666621314741	0.400391550967482	1.7789636714592625	0.04703898105718751	0.4548782267124561	0.018180958234062072	2.7082566146157867	0.4039918260243801	0.4054419164080536	0.4520312680548611	24.195218168925038	1.4277422726153364	0.1016796899213099	1.728024875542049
Myeloid_cells_std	0.01576621236392529	0.11123944268004377	0.09946325346835087	0.039746240265574086	0.060467327349821326	0.20350676413678007	0.04005257651191554	0.6630238539804023	0.18645476782276754	0.13164236367657475	0.4511476073850192	0.020590915527761204	0.05690537857258447	0.03886498789076839	0.36784707687981705	0.12014074321063407	0.07058972636495747	0.10463266244065514	1.5732494337912108	0.14285646117119527	0.06708501122815687	0.35082435682658425
NK_cells	0.004892218933837891	0.10320430348219242	0.0012287652849625151	0.05349760205308572	0.02898634725180295	0.1581615039781782	0.13048548543364122	0.17388363861903644	0.2565729982631462	0.04474597860416619	0.2444723862858868	0.0012400973103840374	0.029199453700041886	0.9657126330412632	0.04250604700582547	0.0	0.012256022760677934	0.012333241597576629	2.1461341587004577	0.004104058836341193	0.00010771180659015526	0.1107745164057622
NK_cells_std	0.004486501248705753	0.0503158394686206	0.002812122096761995	0.016149055199272087	0.013763380099955345	0.09110808353952604	0.2278401423882037	0.07451292978533054	0.13730933462131634	0.06194340267973044	0.29613120259916553	0.002790375112298865	0.014428042435514604	1.4013435238709862	0.011006859272764043	0.0	0.009643245048777107	0.006340047094558876	0.2984113184261919	0.00419770984551481	0.0003406146397164253	0.04125941159345112
Neutrophils	0.0	0.01347811551867723	0.0048002194660634575	0.025989405893860732	0.0061669915757440385	0.006417322717607245	0.0	0.043419535999482166	0.01070656417843186	0.00017572049928013777	0.013289085336145812	0.0004166438109687213	0.0060625552169042566	0.0	0.0099783466537294	0.00606497179437061	0.00947635771287364	0.008724585853738772	0.14129741086518985	0.01501381623243019	0.00022261583973191642	0.07605239947228093
Neutrophils_std	0.0	0.004643241525732267	0.00532774368772738	0.006586099232502715	0.004054709739686928	0.003295912779518349	0.0	0.02774207608901656	0.00485414042279462	0.0005556770093072133	0.006538126680462524	0.0005580418030262219	0.004142450182685803	0.0	0.0063803654928767705	0.003744466742944407	0.007994962040660568	0.0049932796993088936	0.022298406166368998	0.003771807930767293	0.0004748989845916836	0.015845246303139774
Non_plasma_B_cells	0.009192134238509756	0.2444754291651059	0.18853549307347472	0.1944243080111778	0.10132401491653027	2.4695221041101125	0.03400469847319227	5.6635790910181445	0.17663815502970778	0.02866759069411101	0.17840979124824435	0.017880035707441216	0.041131244195811684	0.019386511600371144	0.039829652416476916	0.07958551999819446	0.023393641269551717	0.02457154949518519	0.050230772396950896	0.0593781350408045	0.025087521613779484	6.6102277273943
Non_plasma_B_cells_std	0.006311596042233697	0.3315584496821587	0.046258336815851835	0.1184251549236589	0.038098755739872016	1.1879248578041661	0.03882459433640842	1.0348377921908996	0.06210993194510937	0.011325521699697387	0.11488415745175865	0.008248304553080768	0.013537408006666848	0.015933826425616037	0.01428151432291481	0.015112674243665396	0.013313358773563587	0.0047126562440888906	0.027368937596275608	0.015247048620938385	0.00881683392419742	1.1605030075686982
Other	99.46527800492552	72.65876581244875	94.27767486577656	84.09584745210728	65.8160410513109	60.95124594417632	33.378892116208426	65.17739264318729	35.250809387090776	67.50472579733326	45.54146743335691	96.47487385429831	93.0140702667378	19.29375883328614	72.92016004895456	75.46147596661227	93.89691349394695	91.19339059090142	39.817652417557284	56.094284961559715	98.84502679912931	37.976304668148494
Other_std	0.10233920715324013	1.7016397390489886	0.5352358248346245	1.1730274400330667	2.5116808117704514	2.9403255953484044	4.087498510116978	1.218822994405618	4.030933592754511	1.913017290272306	2.055470980199525	0.2496252672287057	0.7593512300360322	2.4456439282247566	4.197459770199808	1.1213188665257876	2.664872720773088	3.206646552141092	2.8471420112532133	3.157559229432008	0.2147587668083649	3.078765139164082
Plasma_B_cells	0.0036084653302827533	3.3701468962858763	0.29160373360257696	2.8506163641796785	0.8043172498338403	19.918466423242887	0.00805787724654508	6.373086652410513	0.12837777011476995	0.4294492861273136	1.4885770303572965	0.005624838837130158	0.002407852333266704	0.035458793673848944	0.06919310505108674	0.0218715497354472	0.10125457756992487	0.021692374175465517	0.12356914414188601	0.36790803149055856	0.0033266951008354296	4.30522623490433
Plasma_B_cells_std	0.0028200430053965065	1.2081142035426933	0.046603933421737895	0.9535795525734811	0.1660761754481984	2.551883708172787	0.01196569556252853	1.7162185623682138	0.08112101668611163	0.1093268825561026	0.4749171422644424	0.004569622649253564	0.003098820771335553	0.04148533028087209	0.02784591469771509	0.019870879570269603	0.0311535632704948	0.006586886021866825	0.04502485156103276	0.13670382165608366	0.005258310304091129	1.432721989108814
T_cells	0.03208823638496816	20.43825182363989	0.3430764552689418	0.1903730411673662	0.06074223230227499	0.1823210238151404	66.2944157981296	11.317959102111242	46.56975925428323	27.600723211206923	41.090875308608226	0.032749504970011716	0.1927953249179884	79.60254255575279	0.20820927899388408	16.76127491624445	1.8111545599741956	0.04359171246992378	8.492987638631286	0.08038133461186912	0.02835975050053285	18.254276365301877
T_cells_std	0.011130863113718671	1.460470422715887	0.05117221979047123	0.044372277564173626	0.010754819931065094	0.04352693968145649	4.0714040602037045	0.7688248034718923	3.784225133041669	2.01534861152892	1.5094292956080275	0.010715777714773028	0.05050760333511956	3.288217390476652	0.05215323380448272	0.7520074814193837	0.1934369161865161	0.008471994453271181	0.40494713429411205	0.016900795596158032	0.006984508619867271	1.4249988280417762
T_helpers	0.0012727670270336591	16.418747582486972	0.0040761141208824755	0.025363866686294333	0.012032277539525842	0.04225307342454402	1.1378189390943994	8.22056453199151	2.8805410149276613	4.435590745762755	9.463387123209136	0.0014597988212371664	0.09200414304810273	1.1681849345669422	0.11395785233778577	2.7810909625178093	0.8814792828354264	0.0056998476212752405	1.479064062032306	0.015272779023400837	0.0009771702793177938	16.1364076641682
T_helpers_std	0.00043154420007052255	1.3208122607648176	0.004822638009726936	0.011748879128198464	0.002575645909985921	0.016762190609908904	1.2211903735253136	0.8736492717968669	1.9136136701323203	1.057318642194754	2.368489563489067	0.0004938841409778147	0.029001192694529908	1.78514924268035	0.04239030273909706	1.1468604219766492	0.10125454268309897	0.003494511237389457	0.4006822038530504	0.0076473257769782066	0.0004311977469431164	1.3053099633632237
Tregs	0.0001420106377370017	0.8149932732801025	0.046546162890598375	0.09890834608331228	0.007086336363861855	0.0090914333548047	24.515288316402398	0.5449968855827181	21.641956783632775	1.7508467029090016	9.264011892095176	0.0012033252312949256	0.002943755504858781	30.54824728055461	0.007153612727348077	3.4758791294805267	0.08600188005832637	0.006829430633775103	3.60482572218996	0.004946867653665555	0.0007957972553485463	0.09799790644387783
Tregs_std	0.00019947484333529488	0.5652363125566557	0.01247617014167233	0.045679102113392864	0.003501295120856873	0.012809906637398227	4.596392012692758	0.5891644953620486	4.700258661462888	0.9298354310239192	2.2990020491237155	0.00034408326349015067	0.002432924212562364	2.6394946840001667	0.0068009306734425285	1.0230490661787095	0.1723793235540329	0.0038116748960789373	0.6822447283750649	0.005313935492129759	0.0005665649300107999	0.06347018752222401
