	NSCLC_Lambrechts_10xv2_Sample_4b	NSCLC_Lambrechts_10xv2_Sample_3a	NSCLC_Lambrechts_10xv2_Sample_4c	NSCLC_Lambrechts_10xv2_Sample_3c	NSCLC_Lambrechts_10xv2_Sample_4d	NSCLC_Lambrechts_10xv2_Sample_3b	NSCLC_Lambrechts_Sample_1b	NSCLC_Lambrechts_Sample_1c	NSCLC_Lambrechts_Sample_1d	NSCLC_Lambrechts_Sample_2a	NSCLC_Lambrechts_Sample_2b	NSCLC_Lambrechts_Sample_2c
abs.beta.Dendritic.cells.resting	0.029329097254046487	0.26245821110518697	0.07329011499536481	0.281099324797319	0.09312429919763072	0.290536886587755	0.16700024915178	0.015435497117654098	0.035451689852948595	0.15000048837998098	0.163846280388733	0.0850339815328746
abs.beta.Dendritic.cells.activated	0.110206174249127	0.0178386192840451	0.12684774562222098	0.0	0.10272918657102599	0.0140819812732935	0.0	0.0366822213933002	0.0	0.0369207514192525	0.0	0.024543163341201803
abs.beta.Mast.cells.resting	0.0	0.0836318142450594	0.0	0.00414113407163372	0.0	0.0325491749938716	0.0	0.11080726975453	0.0	0.229431749525662	0.230706034379345	0.442864469675349
abs.beta.Mast.cells.activated	0.0144105942278111	0.0	0.006446102496969261	0.0	0.0	0.016901434741542702	0.17235604269661903	0.025220112055679304	0.0293610592068365	0.0	0.0	0.0624073002806719
Eosinophils	0.0	0.0836182869156117	0.0105093066366258	0.0917671349306901	0.0	0.0396413685276248	0.0139516446484216	0.0	0.0	0.0052088397471227	0.0711637794200781	0.0
Neutrophils	0.0	0.0243939068155254	0.0	0.0	0.0	0.0	0.003938860148710829	0.0	0.0	0.0	0.0149679484217845	0.0
CD4_T_cells	2.5873447698039653	1.6053690884010403	2.5235573628869177	0.7090362662210643	2.3979441025671986	1.8864906758126248	1.2865955332428236	2.258430667044168	2.663358454999145	1.3708912171166951	0.7994486091649217	1.0162854661032388
Non_plasma_B_cells	0.059841925575736914	0.1760064981700478	0.0	0.0677700449935689	0.0194279883003818	0.08875926988195539	0.23045307236633306	1.0019388043225101	0.33462003492634	0.361440934949689	0.127820202497317	0.40874251704544606
Dendritic_cells	0.1395352715031735	0.2802968303892321	0.20013786061758576	0.281099324797319	0.19585348576865672	0.3046188678610485	0.16700024915178	0.0521177185109543	0.035451689852948595	0.1869212397992335	0.163846280388733	0.1095771448740764
Macrophages	0.14466026529469062	1.21439789760475	0.1711114383071423	0.355831649485512	0.11646654388513608	0.8090692122882828	0.1716944794808266	0.358507959630973	0.115417271832583	0.30632873552131923	0.44617562381545595	0.5360426799275501
NK_cells	1.1797691789672802	0.39834780866307257	1.06627905069475	0.18846575920415848	0.76176132294598	0.5762993469342642	0.2320654995496769	0.17169941199255198	0.350008878933772	0.31373038934626896	0.215953043660691	0.131478743305311
T_cells	4.988067863145446	2.062605242849446	4.169086855657278	1.1408649942241729	4.387473861915578	2.926227448581445	2.418805985961736	3.1748741151471083	4.880275189223225	1.95754230190474	1.2143465339320616	1.7283249157594758
B_cells	0.16403360318532093	0.2419824110066292	0.0148689129836599	0.2454193294533479	0.10982450297637968	0.3699044171058304	0.3181251790337833	1.0019388043225101	0.551424606014676	0.5710207618789221	0.330143914511107	0.40874251704544606
Lymphocytes	6.3318706452980456	2.702935462519148	5.250234819335688	1.5747500828816794	5.259059687837938	3.8724312126215383	2.9689966645451964	4.348512331462168	5.781708674171673	2.84229345312993	1.76044349210386	2.268546176110233
Other	93.1892940805745	95.32238045710346	94.17589360336329	97.25317105229904	94.29747227052523	94.60064816379362	96.3856284380687	95.06376512403385	94.01158079019336	96.401780596821	97.21256656830481	96.45940007289468
