	SRR8030893	SRR8030894	SRR8030895	SRR8030896	SRR8030897	SRR8030898	SRR8030899	SRR8030900	SRR8030901	SRR8030902	SRR8030903	SRR8030904	SRR8030905	SRR8030906	SRR8030907	SRR8030908	SRR8030909	SRR8030910	SRR8030911	SRR8030912	SRR8030913	SRR8030914	SRR8030915	SRR8030916	SRR8030917	SRR8030918	SRR8030919	SRR8030920	SRR8030921	SRR8030922	SRR8030923	SRR8030924	SRR8030925	SRR8030926	SRR8030927	SRR8030928	SRR8030929	SRR8030930	SRR8030931	SRR8030932	SRR8030933	SRR8030934	SRR8030935	SRR8030936	SRR8030937	SRR8030938	SRR8030939	SRR8030940	SRR8030941	SRR8030942	SRR8030943	SRR8030944	SRR8030945	SRR8030946	SRR8030947	SRR8030948	SRR8030949	SRR8030950	SRR8030951	SRR8030952	SRR8030953	SRR8030954	SRR8030955	SRR8030956
NK cells resting	0.0729999582433696	0.0875350112132499	0.0546867609458991	0.0859580867025624	0.103556722358834	0.0647540252654554	0.0306193141129608	0.0228087177732595	0.0547168138678551	0.0591312916753108	0.0588182516156646	0.0637077869399483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0198191976410227	0.0	0.0	0.0	0.0	0.00930828715033181	0.0	0.0	0.0	0.0310214734876674	0.0	0.0	0.0	0.0	0.00159146942845326	0.0	0.0	0.0	0.0	0.0	0.0
NK cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0114034899048548	0.0158245168086148	0.0106425405241935	0.0	0.0	0.000429680856369916	3.61079633879578	3.5731956977586203	3.63071652129976	3.5744556949576003	3.7141355317979996	3.82664330024895	0.305225693248674	0.3240855053019149	0.294354597861046	0.351904662424261	0.272109115059406	0.25441217896621104	0.252195804127615	0.2396401720070561	0.254042978364908	0.28847204077984	0.26074527321282	0.266900157134365	0.24737201938412598	0.25695489024962104	0.20141510428310602	0.21776529447272505	0.28919137358295194	0.269239279659728	0.4784219641231099	0.42956111714726003	0.478540630889543	0.498772547961342	0.428971724302464	0.4651591304806429	0.23630201494173397	0.16905853114629998	0.21462540963288002	0.18571050046309692	0.211131278913192	0.18108508529613201	0.179288968509282	0.17308319667236102	0.175131387016557	0.18726887777760892	0.129610490039153	0.174585059674544	0.130443762183225	0.166063225486121	0.212844489460339	0.16672392611403694	0.16866896521205602	0.189070467196105	0.183276250903258	0.220105416726765	0.19054146729279198	0.19711245081250198
Monocytes	0.0265429828786816	0.0273871685354006	0.030947472021275	0.0316102763617864	0.0268861256348818	0.0304743504867005	0.0293556811742528	0.0294169843820927	0.0311747919681867	0.0309107213747312	0.0326496332501726	0.0358627644829399	0.0749517446125729	0.0817078933217158	0.0825576798609044	0.0710756524380879	0.0782936892457453	0.0673972870529556	0.0289020706810423	0.0259406721090174	0.0289431775450398	0.0274699535971847	0.033430063160327005	0.0343151081182652	0.0257466081837892	0.025629928640267998	0.0260524554907943	0.0242888618568956	0.0251725923822196	0.0261960014640049	0.022122494453041	0.0241790592879213	0.0235756326120798	0.0258005110236679	0.0235016891315058	0.0193595271947307	0.0247375283995738	0.0291061187893565	0.0414799362706068	0.0270142962860551	0.0269703697235338	0.0284950092605727	0.0213068690683873	0.0364031504892864	0.0285611334012067	0.019920352679796003	0.0277465573728408	0.0226454142729083	0.0282100663731839	0.0200232202890746	0.026170783304397004	0.0202394110384347	0.0213379797293787	0.0270683989384953	0.0203471395860262	0.0225030503510034	0.0266762127583987	0.0229324675650835	0.0255302262592435	0.0287089338539577	0.0241626767109235	0.0212017313365113	0.023683593710849996	0.021731141626018
Macrophages M0	0.0304422518075599	0.0254622095785111	0.0268266990561927	0.021305472543076003	0.0148137728606801	0.025175831701485	0.0164449362159389	0.0277754757097149	0.0122012298007291	0.0177396005108849	0.015037765945334998	0.0125069586817781	0.011737884242818998	0.0200488864445658	0.0153700268500375	0.0136145101297477	0.00529101088193721	0.0197098785374716	0.0195409827325599	0.014354964383671003	0.0217302664203395	0.0216298181351219	0.0111947261459384	0.0162830134866765	0.012066316453658	0.010204145725978001	0.0171872892631473	0.0156817982735745	0.0237536091727282	0.012769264603648002	0.0240374773300233	0.0166370966445127	0.0235231874073265	0.0212029828578656	0.0250031531526717	0.012961784996419	0.0314771755522974	0.0179932908005582	0.0185470653222294	0.0191301750434849	0.0185866168217324	0.0315645438919219	0.014990667090956	0.00984210006801247	0.0120382709306371	0.0171865870780457	0.0139932483156223	0.0166439639597146	0.0272385024329568	0.025690379539323998	0.0197824680291625	0.0174015603932703	0.0274329407951271	0.0237490103547512	0.0171753084203046	0.0170511845462881	0.0167679637905851	0.0141496957408471	0.0133975029880709	0.0148981768797865	0.0139989899714328	0.0280466232289458	0.0291503969790965	0.0234217078437177
Macrophages_M1	0.008777843809752571	0.00865702594855405	0.0146423923150468	0.0141778331730386	0.008567571612689309	0.0066945489609373	0.012304392229782	0.00708426554979573	0.0120766743213613	0.0104871322913328	0.0124886305079688	0.0122903499722683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011997169500397	0.0013502721457869804	0.00499816701505854	0.00386822687014655	0.0028914718871505198	0.0018233559798064602	0.00286255252244009	0.0007600933997111887	0.0016879590444919901	0.0	0.0008913752627164721	0.00244508172812609	0.000494507671210262
Macrophages_M2	0.0	0.0	0.0	0.0	0.0	0.0	0.00258985201522027	0.00231528439314733	0.0197788532505712	0.0123759162535003	0.0131141477787673	0.0164932405820313	0.0310693389420438	0.0320062123679306	0.029167402189425	0.0312313102222734	0.0268449996219542	0.0221371168664344	0.005349351985461721	0.00276844260403458	0.0	0.0	0.0045817514470038795	0.0	0.0	0.00567673156593185	0.0	0.0018280878442426	0.0	0.00786370386278896	0.0	0.00584642070659267	0.0	0.0024479801963395802	0.00254010870200832	0.00440214933261865	0.0	0.0112698276110207	0.00495702258748717	0.00785852821461257	0.0	0.0	0.00130252191132959	0.00133290159468184	0.0	0.000576649291122383	0.0012007361857049599	0.0	0.0017716694952306	0.0080942738112096	0.0	0.0	0.00189656154723627	0.0	0.00324099274336805	0.00193860289334707	0.0	0.0	0.0	0.00282242643477756	0.0	0.0	0.0	0.0
Dendritic cells resting	0.0	0.0045496398446359795	0.0	0.0140924265204364	0.0136414759576251	0.00157807180597128	0.0244896266434188	0.0159512147912509	0.0035882332476085705	0.00481946139382225	0.00488560355811175	0.0036191976664608602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00345815318729782	0.0	0.00229027532678752	0.0	0.0	0.0	0.00268670610523617	0.0	0.00268654671700731	0.0	0.0	0.00188276786588757	0.0	0.0021149531123533	0.0023771894659843	0.000225504060025211	0.005759810198004429	0.0	0.0	0.0	0.0	0.0	0.0060890930306981	0.0	0.0026478685169839	0.0021594787030017	0.000552826785854968	0.00234115117088407	0.00255808368684747	0.0004905632560078321	0.0	0.00699603939871075	0.00471197386573622	0.00278726677013502	0.005532601604692229	0.00116706454922592	0.00384406945364418	0.00454252167573888	0.0016012833099485302	0.005519746444016671	0.0033130090909053397	0.00137404077804206	0.00437891421361225	0.00622725427121955	0.00395066146090939
Dendritic cells activated	0.0074846867568979	0.00494232181368912	0.00880481437666672	0.004583152826755629	0.00700107759229679	0.0131574022870014	0.00326358480013805	0.0060023706729034	0.0	0.00130462997014806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111973728399031	0.0050839799443165795	0.000427235737796838	0.0013242218002709	0.000879076052479532	0.0030588428408627197	0.00201832388425155	0.00183508631839935	0.0007628758600278267	0.0018140426020433397	0.00216116702889572	0.002023241206882489	0.0	0.00219040699004967	0.0	0.000711780271494035	0.0	0.00014207274418963998	0.0	0.000783525721934701	0.0	0.0	0.000355610940952866	0.00386464946140965	0.003219369940054989	0.0025061173705900604	0.00190874380149403	0.00170179236279494	0.00111639413557635	0.00144718120734096	0.0028340508265287	0.00214478848244664	0.00208698903557504	0.000474078659434438	0.000871414510370995	0.00198968493698366	0.0022708379535157	0.00423177221099939	0.00281523123258094	0.0012068154661647199	0.0045445664791948	0.0022993915120029396	0.00259323130579608	0.00358872584514864	0.0018118647727791602	6.90465813250231e-05
Mast cells resting	0.0	0.0	0.0205529139562145	0.0	0.0	0.0	0.0163814702316788	0.0307532289417304	0.0122396185590449	0.0164385006424055	0.0147541571785295	0.0169021370494577	0.0544779497744963	0.0421336181037256	0.0388124008132328	0.0290901116762699	0.0233469411480468	0.0364967222802661	0.0181669489441217	0.0309501255832595	0.0271413452095977	0.0503786943971449	0.027352237427727	0.0391197474463409	0.0168062988899416	0.034419395747248	0.00877785294722586	0.040667575362267	0.0491250858711802	0.0281384951089607	0.0149147881170376	0.0214470147214528	0.0173074988315836	0.049160253643229006	0.0228795265481703	0.0141052784530922	0.0497046954642487	0.0456879976603286	0.0384209783700883	0.047130556273836	0.0392392124877145	0.0728580082022495	0.0379496648073585	0.0268370391001744	0.0258409625801499	0.0164854725721957	0.0181548416254145	0.0287101918248888	0.0264326052750973	0.0419596253448675	0.0301667384911528	0.0296470918970134	0.0288466985383758	0.0272664477038779	0.0330461103227491	0.0404846566390623	0.0261727051379386	0.0385235878665116	0.0352888036486694	0.0365414916803134	0.0509215094919838	0.0224037761165021	0.0410834466632676	0.0516796820207991
Mast cells activated	0.0645709473850532	0.0883346436246856	0.0512356895277862	0.0683384520749819	0.0660183502998524	0.0797261190862762	0.0145916747533328	0.0244276373619572	0.0086529106814993	0.0115315502668159	0.00596031061213623	0.00324834158193677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00204895495809363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0135536456486018	0.008527422733505059	0.0145269970533355	0.00576224008135262	0.0012821767092739999	0.000961452879172887	0.0226378365887015	0.0	0.00350253070445371	0.0	0.0	0.0	0.05187298204507	0.0519290813793111	0.0447265726473117	0.0488315511562656	0.0528816851942619	0.0521216601398116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112066562281201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261469982060468	0.0	0.002426038114655989	0.0	0.0	0.0	0.00105470564311766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.15149041806191e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103046707602153	0.0	0.00062672322693967	0.000771582743848408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32845290222518e-05	0.000509774400701438	0.0	0.0	7.4446168707969e-05	0.0	0.000204974390768484	0.00020796903825566696	0.000103674169293526	5.8430734132118704e-05	0.00147068112479556	0.0	0.0	0.00176548809329745	0.00114400673150229	0.0	0.0	0.0025388563851322303	0.0	0.000209089928343319	0.0024178554226025398	0.0022732328645233197	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.37035222531763	0.37027808823182595	0.378711677045331	0.366666589526681	0.366924670281068	0.39496944620195595	0.5044496867736079	0.507682421757384	0.506453049300206	0.503754869342926	0.5093713913341379	0.5076293686938069	0.82621985737128	0.822788825034198	0.829903258303131	0.827738675195083	0.8298160041371571	0.829654196849484	0.8388462353209971	0.8314298809493291	0.8249972184849691	0.826767442177453	0.8299804696998639	0.8236235585176271	0.817499988440813	0.819401205568127	0.8147634447683759	0.8443658395815159	0.8155946470966059	0.8160671399561299	0.842228909534063	0.8262532190877611	0.815210520136535	0.825863877935895	0.836347202992038	0.8389405244336021	0.820767412707784	0.8275230511949541	0.829349468822779	0.8370145288133649	0.8205959798079391	0.8308405036639279	0.776532343857726	0.780489000220483	0.78841600169016	0.79658502963652	0.783148174248302	0.79708671064778	0.7845029355775699	0.768637788896692	0.773135133198171	0.768147343054003	0.7559057261397271	0.7215146133271791	0.676147674124634	0.6885321972270219	0.7498809319617801	0.7247590028661389	0.7359952406599679	0.7137846633068009	0.7551682639039029	0.73302854711103	0.7055503233291299	0.692037801102495
RMSE	0.9408334535119821	0.941978936751778	0.934351741895448	0.9428614969309048	0.9470286466740891	0.929261561732311	0.8629411243990099	0.860993848617854	0.863503146016079	0.8646301473105908	0.861813122164668	0.862809849776001	0.5681454634588979	0.573302415382883	0.562925191407699	0.566104454950895	0.563988321917211	0.564830387686297	0.550900578169864	0.561691634295193	0.569881552156205	0.5674866724583231	0.564710440241155	0.575329256181203	0.580054764758032	0.5814789353700289	0.5840189841966159	0.54618083898086	0.5865811486516479	0.58271359118302	0.5468338086364191	0.569817223890763	0.5859791016652239	0.576256100015846	0.554035118912349	0.550357377545859	0.5731315820262901	0.565716569576778	0.561072477494142	0.550274403555987	0.573953439675202	0.56171301440978	0.630538813441178	0.629035215386587	0.617314900442553	0.60791639168215	0.623206208364818	0.6086444861459781	0.6249139880402039	0.644447942464447	0.6379699694852919	0.642087834921513	0.6587560912870091	0.69226178238869	0.7361221946617711	0.7247357093738721	0.6616935444546	0.6888054091516739	0.677992716123591	0.699980450079831	0.657505453982385	0.680087442368844	0.708477451293495	0.7217900126730441
Absolute score (sig.score)	0.5291375268424651	0.5401631552298739	0.528527160414758	0.537966231107446	0.5494062383653139	0.535174542376119	0.502952804844013	0.49500531481674703	0.49696738767664395	0.4965188378714621	0.4941105193209551	0.4935785920133879	9.97201553511157	9.961492089891381	10.0674242230945	10.0613570964949	10.0761881488393	10.0494051782571	1.17303459911696	1.16069817366894	1.19509830016766	1.18894766863291	1.18309188868952	1.2098629583748202	1.01026064675153	0.9972420984645659	1.0833689348305	1.07874294013047	1.06745297089991	1.06724504127338	0.9857944425457308	1.00103678338816	0.961053668347553	0.961207882913894	1.0183711930189598	1.00792279669644	1.5809665169303502	1.5882815893311495	1.63583517343563	1.6393262762991798	1.5910324506621798	1.5833022247733	0.747254446542539	0.751171972149203	0.791721926337236	0.7913262740482231	0.768295936454519	0.774109678869455	0.7372439536631371	0.732123568311885	0.725044765116907	0.722983754941375	0.7127684967139142	0.6915892133991399	0.6464095497329531	0.6570394609094711	0.741946829484856	0.721673962595472	0.7049823658958722	0.7070778692906341	0.7297925826797099	0.7328650378580409	0.71089762081953	0.6973919753741689
B_cells	0.02337181844258378	0.01920842128711673	0.01951165668136829	0.02019815984804407	0.02001924224211863	0.01735028869156828	0.015286574290600662	0.01602636600875907	0.015008919486192481	0.01592436264114847	0.01436707815441969	0.01577490658194193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014163013387356878	0.001617541327182065	0.00976534772924654	0.00355514500377889	0.0038159286100484828	0.0029575582403468807	0.01283062721438535	0.011388982806867724	0.009952547276227729	0.01049491882094535	0.00358802053291367	0.00174383138677991	0.006477395325518	0.0112269045954602	0.00512391786325836	0.00668379365324183	0.00809497076811535	0.00344697538443015	0.0032556516548582397	0.0	0.00323183645718666	0.00294331357716911	0.019643376632899442	0.0028039658851870893	0.0053797275464326	0.00611448508725125	0.0023610939917316303	0.004988081647914414	0.00308517013662113	0.00651069972765203	0.00690570042756825	0.00267218755282645	0.004013864555233909	0.014410484438146003	0.00318456864929881	0.007803525578881992	0.01335288965843803	0.008018915227488613	0.002930920999505253	0.00875918898948181	0.00419024424130954	0.0049435286422869285	0.01006088961897762	0.010853019897722459	0.00295969352764185
