	lymph_node_20	lymph_node_25	lymph_node_26	lymph_node_28	lymph_node_5	primary_10	primary_12	primary_13	primary_16	primary_17	primary_18	primary_20	primary_22	primary_23	primary_24	primary_25	primary_26	primary_28	primary_5	primary_6	primary_7	primary_8
Correlation	0.235252540225856	0.7871057264704571	0.6273709890673101	0.687152721973808	0.6019312909248371	0.735942020242577	0.8656482541404209	0.673755464963347	0.8120045131040229	0.834397764693687	0.85462632488825	0.2247617058722569	0.7222504872615959	0.83218317378699	0.741229258194456	0.79180003951822	0.64045000514342	0.4475245034320779	0.7968464738247449	0.535752533074891	0.54828748852062	0.6385484677839871
RMSE	0.980107615765245	0.682582109540666	0.78095736285356	0.7526618978651499	0.8188088141634979	0.7628505734130999	0.556019634921503	0.764865663153467	0.615975155871615	0.6092376046583929	0.586275308753877	0.988807822267388	0.6980759206692692	0.581656119634989	0.674638513510124	0.642107455189673	0.7718619441165891	0.927851770938737	0.64282189301467	0.86338461600523	0.840925966260896	0.789161953288237
Absolute score (sig.score)	0.5384813665493839	2.61620216588971	1.1797809149280098	1.31604268586768	1.18415838264981	2.7042694298346097	6.76899129191398	5.2983154455371295	5.73619299034741	4.25248358027737	5.34525004089686	0.522631876907258	2.17289008264822	7.12344468993204	2.7443056048525696	3.04286318904265	1.36113357837619	0.802549962450033	4.01263270088495	0.9793112232819879	0.8463434652145071	3.8682833873744498
B_cells	0.1535981767269873	0.3162245487526204	0.1894181001637718	0.6926800659327471	0.3729056347423787	1.8205954334805268	0.007303485488303241	0.962792055462977	0.07635218494905519	0.15983700849767293	0.2198988309217759	0.1314243319925572	0.019685549220930982	0.00551496525124984	0.05686806106244649	0.02960458951046507	0.05775557741363261	0.129217417555375	0.1009416341062899	0.3198263371229803	0.11618009454002205	0.7883662886817521
CD4_T_cells	0.1134931100349888	1.327938088017503	0.3383790010848011	0.05648549233869581	0.19402452291576167	0.0911656042649064	3.276669297451114	0.9878996794188084	2.1788373582961817	1.8194530147272467	2.0652944955130588	0.08442384541062198	0.1069145740968774	3.0173083326670453	0.128855460249218	0.8714279907589795	0.3993790271157981	0.0823370673626729	0.8677245849877857	0.1720886708463964	0.0971013261957841	1.2735873344434092
T_cells	0.1498897676591194	1.831615514731512	0.35371652457615377	0.06165616247762454	0.19402452291576167	0.3167685352657924	5.173285510316956	1.2331806577690412	3.7395405966941953	3.228674679942672	3.664386485689189	0.12482751736517138	0.1227463963757094	6.394357507154363	0.17629696876744852	2.0893534670181366	0.674391591939211	0.0823370673626729	1.1994006818650136	0.1720886708463964	0.12543319845912776	1.6513158176272964
NK_cells	0.0589484905144843	0.0755068212767436	0.03492646622226779	0.017809910344655188	0.0469481934058483	0.050034496539689735	1.00688252664105	0.296788468587886	0.9236310605415772	0.40132910759272394	0.703982641131831	0.07915559905166	0.0332788471724979	0.6837971504754994	0.0325898479506957	0.26115432973066605	0.0873619412132889	0.0641241377823051	0.975252625126845	0.0638193158347656	0.134268240933866	0.41558355957558296
Macrophages	0.048885527228916106	0.152053800463465	0.3711533499245648	0.2763830244869385	0.19440935725377248	0.0	0.10480801574417999	0.206078030533209	0.0571113832435229	0.0616310837130504	0.1477064999426641	0.08287242123274789	0.301068859744824	0.030926523164199037	0.3393182992826627	0.0876284820259979	0.22013323090470602	0.3898065282281447	0.47341465505825103	0.1443645356082054	0.2787141019242313	0.23254817839765898
Dendritic_cells	0.0570714730949533	0.0263314865611062	0.0510419297291972	0.0125065660824258	0.00827712046823133	0.180379407821726	0.1300346168709513	1.4097821042429701	0.27186005953688497	0.0996635491589501	0.03669001300958485	0.0369265522433099	0.0202766263659648	0.00884854388672998	0.029069211908992983	0.15816593224883302	0.0592858587580548	0.022485698088394148	0.509479289000867	0.0182204667346291	0.0622640057197918	0.216371879319322
Mast_cells	0.0215332780399542	0.1250352673495588	0.092574077139564	0.2369986676262414	0.322367340638018	0.30442010592867474	0.26199806416081195	1.153356451029609	0.667697705382172	0.2854883205374141	0.513642537217146	0.0402903508278618	1.6758338037683016	0.0	2.1101632158803247	0.348045651948663	0.24393607441046405	0.101263969212621	0.497638599927718	0.1219829665338865	0.0686139437410507	0.4855574231356274
Non_plasma_B_cells	0.01713359671899032	0.0444301809878804	0.1182830938693138	0.15839988389823598	0.0738652875329877	0.3414267118659769	0.0	0.512621451590854	0.0705520076167521	0.00428994084980096	0.0225990741995509	0.0243133983193112	0.01356271102254725	0.0	0.03323362661490769	0.0231943070988256	0.00583427828455581	0.018090002124737	0.0684659404046378	0.00731962288153926	0.05579039876944854	0.6396878262390129
Lymphocytes	0.362436434900591	2.223346884760876	0.5780610909621934	0.7721461387550267	0.6138783510639888	2.187398465286009	6.187471522446308	2.492761181819904	4.739523842184828	3.7898407960330687	4.5882679577427945	0.33540744840938863	0.17571079276913826	7.083669622881113	0.2657548777805907	2.380112386259268	0.8195091105661325	0.27567862270035304	2.2755949410981486	0.5557343238041423	0.3758815339330158	2.855265665884631
Other	99.46151863345058	97.38379783411028	98.820219085072	98.68395731413231	98.8158416173502	97.2957305701654	93.231008708086	94.70168455446287	94.2638070096526	95.7475164197226	94.65474995910314	99.47736812309276	97.82710991735178	92.87655531006796	97.25569439514744	96.95713681095735	98.6388664216238	99.19745003754996	95.98736729911505	99.020688776718	99.1536565347855	96.13171661262557
