	CCRCC_5	CCRCC_17	CCRCC_10	CCRCC_19	CCRCC_3	CCRCC_25	CCRCC_22	CCRCC_18	CCRCC_26	CCRCC_9	CCRCC_30	CCRCC_13	CCRCC_24	CCRCC_15	CCRCC_27	CCRCC_11	CCRCC_1	CCRCC_4	CCRCC_16	CCRCC_7	CCRCC_6	CCRCC_23	CCRCC_14	CCRCC_31	CCRCC_28	CCRCC_21	CCRCC_8	CCRCC_12
Macrophages_M2	0.33238006595853997	0.18009163730903302	0.22909279452786105	0.289780626066928	0.174659883845246	0.347141207391167	0.0958213759063884	0.21393065062616798	0.316308022417518	0.404716936595688	0.214207240910693	0.35115251812358	0.216020138402031	0.329743629345522	0.341008371369863	0.118835908342858	0.318380112499405	0.20154102804435506	0.153699386467113	0.242666378766767	0.46464254303645597	0.46832488743255196	0.636685905679915	0.251016827408957	0.35367006893161296	0.153285569859255	0.26572373416432	0.410298706000949
Dendritic cells resting	0.0137490891237519	0.00752611892233123	0.0380446215242113	0.0	0.00213414294308488	0.00308251309495053	0.00998566237573287	0.0201928030423947	0.0157565061762494	0.0223839726828725	0.0	0.0	0.0354001818076683	0.0	0.0	0.004704124552167829	0.0136054451607893	0.0191326884156749	0.00458685635575314	0.0178011226228721	0.00227770554520588	0.00998841795530623	0.0200182816326902	0.0335621344456611	0.000661820077005391	0.0	0.0101057570949021	0.0228548475298669
Dendritic cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00361930231249802	0.0	0.0	0.0	0.00418278870714264	0.0	0.0	0.0174506107951711	0.0	0.0	0.0	0.0	0.0	0.0
Mast cells resting	0.0995918231547958	0.137427505273965	0.14090369461953198	0.12063164669150399	0.11285993422945699	0.0682012910975611	0.15677798691620498	0.0498666681628523	0.14077959872198	0.113972308336319	0.0414801720559725	0.0357734104486975	0.15547702256756302	0.0227100941831086	0.0154392964014589	0.0553085065924464	0.10648266456674	0.13248323073763402	0.132149819641575	0.13175496985412802	0.210957043674254	0.07757958499491001	0.0991555464173683	0.0961770369366593	0.107532936940651	0.0454947097427415	0.17861206305522098	0.0525757065209241
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043170066673194896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00247246039408601	0.0	0.00102896630164839	0.0	0.0	0.0	0.000174231244081653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014310873130636	0.0	0.0182966244239384
Neutrophils	0.0054288461304155215	0.0115562495407077	0.0	0.0170126836178023	0.0134628468650387	0.0157943056104973	0.0	0.0281198331246451	0.0	0.00624701483596622	0.0324553131485206	0.0	0.11567667291485301	0.0191239606322037	0.0141869653764629	0.000109621131086417	0.0175517055924159	0.00107526016242641	0.0	0.00184933859371808	0.0125974576062869	0.0257360773955406	0.0249363382993228	0.00212850117087077	0.0404596128029814	0.0	0.007814454693511271	0.000164151995647936
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.704280519179976	0.7162549638501758	0.693678375493485	0.7892220295818579	0.586623071353673	0.759013787689035	0.5378783843357821	0.7892788328731569	0.745924266626195	0.783833203379918	0.834369597672739	0.7546818956210999	0.585975763442186	0.685261113062015	0.6731381014660931	0.6892350434421021	0.684063400873508	0.702317947071332	0.624935473187142	0.5411694219244481	0.694205138215346	0.7537740880270791	0.7971052174669591	0.6733206784901961	0.823902584090111	0.79227485549461	0.7282761977009159	0.7451426230711959
RMSE	0.7628005157192449	0.7568301947500121	0.77230121112755	0.716383468527388	0.8259767745707479	0.731356890260136	0.85065602398643	0.7138044217023121	0.7306976519955021	0.710244163729665	0.635361640806545	0.723438651908974	0.8288779039545681	0.7592889583023229	0.767881463447211	0.7615336001518759	0.76763662217194	0.7589768955746371	0.8056393654086821	0.8483256636858009	0.770565902010473	0.7242979861622428	0.7051657297337779	0.78170854504	0.671728621290925	0.6937157590730091	0.7630003329726279	0.7213052190124409
Absolute score (sig.score)	0.9171858459211619	1.16296876702615	1.28437354598403	1.19846773758877	0.809887707370764	1.3073395276014	0.883102676990048	1.43539005889405	1.4541339790933	1.68265575025368	1.35468602257286	1.46101053648876	1.44777652604466	1.22367225713508	0.991165823841283	1.1152463830281298	1.24254561602473	1.0724601369315698	0.877395787011329	0.9488488792765792	1.53236044133029	1.48990144338325	2.26192937871707	0.930639846074151	1.2432676915789098	1.5108608760489801	1.3091350367109198	1.9938771855747301
B_cells	0.0119278356109446	0.0101041373977166	0.0487541350444845	0.050514256493364273	0.001077939661895233	0.0418645791006966	0.0220603220743982	0.03990468804618992	0.03308228733095	0.0479401584687009	0.00876184047352042	0.0483329048566729	0.0856873732350761	0.013495119797726818	0.06071665595985031	0.0451179259659135	0.00106917740680926	0.00790697674069241	0.00861700099685611	0.004189774213754715	0.05919048337568171	0.03412955021181961	0.010423674042346	0.0164745050045438	0.00771929751366888	0.0896046571659866	0.132114859527422	0.0
CD4_T_cells	0.14689996855404094	0.20312346341429804	0.1453190699972048	0.297459464898127	0.134828487399077	0.273023634707026	0.16134470857715866	0.2850641830054715	0.136742953737989	0.280714148232762	0.13043748950280748	0.251725255848409	0.27911327533265884	0.3448544422759785	0.09968088246706493	0.4404285668052882	0.12384933775666125	0.12171974358263718	0.1376823582148289	0.07985098881849971	0.2866028317180724	0.1620446191875206	0.1980200074997576	0.0924831184778831	0.2066312363714417	0.04220757625741632	0.2168036087922364	0.2679369075213852
T_cells	0.2461409059975644	0.4013217647116266	0.24943246691173884	0.35078434361479083	0.2614412603166353	0.440263838437409	0.20594466022749505	0.4534982267580289	0.583245486901204	0.7159645572904509	0.22658662315743025	0.6038901796624769	0.5827344329937288	0.4539350988109603	0.20166607143219026	0.5322186745811908	0.5380972221084834	0.41269499860923214	0.2725890088879189	0.1473042355999357	0.4773247809893464	0.2861897021592926	0.8886745587263369	0.2487528745705231	0.25952025290880737	0.4852180038731613	0.3673898003246094	1.0100172646050551
NK_cells	0.038646111673128584	0.0625943947477622	0.066213695198101	0.056516581974343824	0.062137589330883	0.0719279393108776	0.1041874309324564	0.0406787612363907	0.071996308068021	0.0575856235879989	0.055801370175891686	0.0387893971992128	0.0355883910719583	0.0520897994101026	0.01941426657504004	0.083239074362538	0.0256376315106243	0.0522676608835317	0.0972652201285635	0.101003826287989	0.0670646048531399	0.0476633968630547	0.02679366263319332	0.0546458730937288	0.0691839456133338	0.14205122382723898	0.047242598279537695	0.00970932118619194
