	cy53	cy58	cy59	cy60	cy65	cy67	cy71	cy72	cy74	cy75	cy78	cy79	cy80	cy81	cy82	cy84	cy88	cy89	cy94
Macrophages_M1	0.0	0.0	3.2638735113977995	0.0	0.4315846042251961	0.0	0.270002101804771	0.0	0.0	0.150702017703365	0.0	0.006700968381783339	0.0444374333328857	0.0	0.0231317292823738	0.0	0.42744223264017606	0.326416052130652	0.20068506880108494
Macrophages_M2	2.30925729998	2.70282887983328	10.837924369865698	2.3533767911266104	0.6290056976505389	0.23015501355369103	0.717522529419283	0.8532669905176309	1.7756633971558702	0.650522731027907	0.0	0.489358300942946	1.48652118161311	0.031995483961045595	0.978846739543208	0.37299981138784605	10.0174805321882	1.6777177968368098	0.16671933129278102
Dendritic cells resting	0.0	0.15242263199525802	0.0	0.0	0.330880566090601	0.0	0.342051748942253	0.0	0.0999978679161074	0.4005252214106701	0.337539840208996	0.0	0.12903342135725698	0.0	0.0	0.0	0.36906006285822207	0.0	0.0
Dendritic cells activated	0.8069067045347929	0.70892396644212	16.4796108748392	0.8511859851270358	0.895805496862764	3.014058544965	1.04202200818831	1.42067972815546	0.5239646948049961	0.0	2.20964060560172	0.3995274383434939	0.5650319872565971	0.6508547967400239	1.18142613071789	0.619395777213031	0.597726009653566	0.7675981868813381	1.25871944778979
Mast cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mast cells activated	13.4004049270813	2.0828266441654	40.0850749849161	3.52774904382537	0.630087944346873	0.0	0.21160663690375695	0.0	3.49237434403152	1.70224472971388	0.0	1.24465356361429	2.7030266281787996	0.0	10.8726020055884	17.2803037327318	2.69202091161523	2.82849662398732	0.0
Eosinophils	0.091306793077145	0.6201273909132771	1.49721137955672	0.0	0.9170938226510872	0.8651035105809171	0.8294707380554579	0.813377403400369	0.7372115014518629	0.544448734781278	9.77799035378008	0.794310073863773	0.753490631477465	0.0	1.51576179735632	0.11756637400785801	0.5582755864147491	1.16686115522551	0.152988728338273
Neutrophils	0.16860076716169098	0.33679764758956	0.0	0.4369451498595461	0.0	0.09530700036387213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.198251488447738	0.0	0.0	0.0	0.0
P-value	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	71.29939401686609	62.63832987713101	6.7091831353063585	72.7596428490132	57.2493297582765	66.1116022733517	53.8689579753687	68.225078786927	59.6111328699434	64.68035806835289	0.453100675494979	47.177119785739215	66.9358952103599	57.4058909266152	64.5286802291545	70.48530608317809	65.2742411347776	56.50047865792379	72.67430346864809
