	BT1160	BT1187	BT749	BT771	BT786	BT830	BT85	BT920	MGH100	MGH101	MGH102	MGH104	MGH105	MGH106	MGH110	MGH113	MGH115	MGH121	MGH122	MGH124	MGH125	MGH128	MGH129	MGH136	MGH143	MGH151	MGH152	MGH66
Monocytes	1.52634578805437	21.8628083263897	1.00536718916081	3.7920644419016094	0.9460947827340208	0.0	0.4397067026680661	15.2393132475508	0.9930048296417712	6.9988814950082805	18.3373567211992	0.0	9.752771393865759	1.5027668783891899	29.3270029712084	14.350942005529902	8.36222977069632	1.11319755111816	5.51275889537186	6.971572849532751	6.8684625320591	0.146213570180284	0.0	1.1505560262997299	0.0	0.0	0.0	0.0
Macrophages M0	0.0	0.0	3.0938252701455897	1.34041486413887	11.442297199971199	0.0	4.5946666860156204	0.0	12.7417860332426	0.0	0.0	4.90465394984436	0.0	0.0	0.172993335464615	0.0	0.0	5.54431207906227	0.0	0.0	0.0	15.2821105003978	6.90942793735098	12.1313687519645	8.185752906623051	0.15680795302648998	5.95862477727806	10.279762857888905
Macrophages_M1	0.0	0.331686103885158	0.0	0.0	6.219135790757281	0.0	0.0	0.0	0.0	0.137753194743153	0.170444226981583	0.0	0.21743730705635297	0.0	0.0	0.165901093671143	0.7394482544373291	0.0	0.31106744725908303	0.11190320705124901	1.34042892407216	0.0	0.0	0.0	0.0	2.02496730544317	0.0	0.0
Macrophages_M2	0.0	25.6192714408162	0.0	20.092748423465807	0.0	12.698059124169701	0.0	12.508723009493403	0.0	29.234750429872907	17.980736591237896	0.0	14.030173972708699	3.420464773968189	0.358272656492161	8.775519823381241	24.0247730328739	0.0	6.685275567877989	10.0476992611841	26.808912149294898	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells resting	0.0	2.2112795364404003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.150501050176988	0.0	0.8608611231621791	0.0	0.0	0.17776186875034197	0.0	0.0	0.647538746939837	0.304662552819375	0.0	0.0	0.0	0.0	0.0	0.066946234678316	0.0	0.0
Dendritic cells activated	23.9439206657763	0.794218529022833	14.8629534974667	0.48356422381387204	10.631772860950301	26.474810586158398	23.865122617754	2.9979252306410498	27.6501056769452	0.7205959718529329	0.7377562674841001	9.376403026000839	0.490898995820591	0.0	3.3866365556145097	0.0	3.8972229642119096	22.7978738355617	0.240958226906986	0.62974782425558	1.85262024153641	4.86797662774363	21.593510100683304	17.185115089655202	13.996568693951799	0.0	21.3354988266768	27.722292721818604
Mast cells resting	1.5024841321383997	4.77272198581099	15.2976680072055	0.0	16.3858254181532	0.0	0.0	0.0	11.649572883099301	0.0	0.0	2.71840241626339	0.0	0.0	0.0	0.0	0.0	20.321607560082306	0.0	0.0	0.0	26.863665835322102	7.76048452056252	17.100417178523	10.050498591375304	0.0	14.517762855564998	12.3574868206034
Mast cells activated	0.0	11.815706086063098	0.0	64.96858429797719	0.0	0.0	0.0	37.203260758648796	0.0	27.668171050233198	25.302471787368397	0.0	37.1354992246823	2.67533660734905	2.24582248811544	44.795403830664796	28.801952349937604	0.0	60.0056004733685	41.0381983416216	16.2901391128958	0.0	0.0	0.0	0.0	8.55803637109841	0.0	0.0
Eosinophils	0.0	3.1723284118627	1.3437662050132502	0.0	1.71435842601633	0.0	0.0	9.0744003106808	0.0	5.6966210723660184	9.563244858564198	0.67570718862383	4.27032509492733	0.144887389885576	1.6050394671310402	1.9265548431843496	7.8587801081621205	2.96201673810444	2.8431681680991003	7.321287952137129	7.604574568084528	2.2133194079676097	0.0	0.0	4.614952959908719	1.4581833616906001	1.9866865599338002	1.2567989099852
Neutrophils	0.0	1.23860536596382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8758356331624051	0.644488281039199	0.0	1.1373463622178002	0.0	0.0	0.0	0.15740685465375398	0.0	0.869556957457187	0.7030943906784971	0.0	0.0	2.43927970607771	0.0	0.0	3.07629810391443	0.0	0.0
